Timepoint,Treatment,ug/L,Species,Pigment
T0,Control,0.05424655,Diatoms,Fuco
T0,Control,0.118489413,Diatoms,Fuco
T0,Control,0.085819148,Diatoms,Fuco
T1,Control,0.028095255,Diatoms,Fuco
T1,Control,0.028070118,Diatoms,Fuco
T1,Control,0.031254191,Diatoms,Fuco
T1,NO3,0.039205994,Diatoms,Fuco
T1,NO3,0.056534055,Diatoms,Fuco
T1,NO3,0.022707468,Diatoms,Fuco
T1,P,0.050073738,Diatoms,Fuco
T1,P,0.047937058,Diatoms,Fuco
T1,P,0.069613892,Diatoms,Fuco
T1,NO3+P,0.019883698,Diatoms,Fuco
T1,NO3+P,0.040890201,Diatoms,Fuco
T1,NO3+P,0.145260764,Diatoms,Fuco
T2,Control,0.161248163,Diatoms,Fuco
T2,Control,0.151846768,Diatoms,Fuco
T2,Control,0.122050548,Diatoms,Fuco
T2,NO3,0.168956971,Diatoms,Fuco
T2,NO3,0.154234823,Diatoms,Fuco
T2,NO3,0.146718735,Diatoms,Fuco
T2,P,0.054481166,Diatoms,Fuco
T2,P,0.078361714,Diatoms,Fuco
T2,P,0.064460721,Diatoms,Fuco
T2,NO3+P,0.172777859,Diatoms,Fuco
T2,NO3+P,0.113252451,Diatoms,Fuco
T2,NO3+P,0.107035129,Diatoms,Fuco
T3,Control,0.362825124,Diatoms,Fuco
T3,Control,0.261102369,Diatoms,Fuco
T3,Control,0.233987474,Diatoms,Fuco
T3,NO3,2.101052499,Diatoms,Fuco
T3,NO3,0.693189462,Diatoms,Fuco
T3,NO3,1.971762375,Diatoms,Fuco
T3,P,0.235839263,Diatoms,Fuco
T3,P,0.410602978,Diatoms,Fuco
T3,P,0.329208016,Diatoms,Fuco
T3,NO3+P,0.148838657,Diatoms,Fuco
T3,NO3+P,0.484155066,Diatoms,Fuco
T3,NO3+P,1.950730734,Diatoms,Fuco
T0,Control,1.435865965,Cyanobacteria,Myxo
T0,Control,2.746112572,Cyanobacteria,Myxo
T0,Control,2.309621252,Cyanobacteria,Myxo
T1,Control,0.755583377,Cyanobacteria,Myxo
T1,Control,0.708344661,Cyanobacteria,Myxo
T1,Control,2.259935823,Cyanobacteria,Myxo
T1,NO3,1.887069753,Cyanobacteria,Myxo
T1,NO3,0.946008417,Cyanobacteria,Myxo
T1,NO3,1.085170542,Cyanobacteria,Myxo
T1,P,2.161852709,Cyanobacteria,Myxo
T1,P,1.235965281,Cyanobacteria,Myxo
T1,P,2.135861757,Cyanobacteria,Myxo
T1,NO3+P,0.448241978,Cyanobacteria,Myxo
T1,NO3+P,1.345219569,Cyanobacteria,Myxo
T1,NO3+P,2.589286902,Cyanobacteria,Myxo
T2,Control,0.993526144,Cyanobacteria,Myxo
T2,Control,1.035785587,Cyanobacteria,Myxo
T2,Control,1.116194424,Cyanobacteria,Myxo
T2,NO3,1.003398843,Cyanobacteria,Myxo
T2,NO3,0.924481641,Cyanobacteria,Myxo
T2,NO3,0.871834403,Cyanobacteria,Myxo
T2,P,1.168498264,Cyanobacteria,Myxo
T2,P,0.916207891,Cyanobacteria,Myxo
T2,P,0.880752025,Cyanobacteria,Myxo
T2,NO3+P,4.91019737,Cyanobacteria,Myxo
T2,NO3+P,3.192004419,Cyanobacteria,Myxo
T2,NO3+P,1.212582009,Cyanobacteria,Myxo
T3,Control,0.685261862,Cyanobacteria,Myxo
T3,Control,0.535078801,Cyanobacteria,Myxo
T3,Control,0.785061967,Cyanobacteria,Myxo
T3,NO3,0.341530984,Cyanobacteria,Myxo
T3,NO3,0.27337717,Cyanobacteria,Myxo
T3,NO3,0.338676486,Cyanobacteria,Myxo
T3,P,0.710244082,Cyanobacteria,Myxo
T3,P,0.268097422,Cyanobacteria,Myxo
T3,P,0.203742451,Cyanobacteria,Myxo
T3,NO3+P,3.48498748,Cyanobacteria,Myxo
T3,NO3+P,4.576210416,Cyanobacteria,Myxo
T3,NO3+P,0.937262493,Cyanobacteria,Myxo
T0,Control,0.073055537,Cryptophytes,Allo
T0,Control,0.13842235,Cryptophytes,Allo
T0,Control,0.106869452,Cryptophytes,Allo
T1,Control,0.043693988,Cryptophytes,Allo
T1,Control,0.027847871,Cryptophytes,Allo
T1,Control,0.119035874,Cryptophytes,Allo
T1,NO3,0.082694941,Cryptophytes,Allo
T1,NO3,0.049273695,Cryptophytes,Allo
T1,NO3,0.042572979,Cryptophytes,Allo
T1,P,0.101391078,Cryptophytes,Allo
T1,P,0.065822817,Cryptophytes,Allo
