Timepoint,Treatment,ug/L,Species,Pigment
T0,Control,6.522313893,Diatoms,Fuco
T0,Control,7.231004763,Diatoms,Fuco
T0,Control,7.621908384,Diatoms,Fuco
T1,Control,9.033986129,Diatoms,Fuco
T1,Control,8.8714392,Diatoms,Fuco
T1,Control,2.493983872,Diatoms,Fuco
T1,NO3,1.813522323,Diatoms,Fuco
T1,NO3,4.060505918,Diatoms,Fuco
T1,NO3,10.01550178,Diatoms,Fuco
T1,P,8.550384086,Diatoms,Fuco
T1,P,7.090277113,Diatoms,Fuco
T1,P,5.196683732,Diatoms,Fuco
T1,NO3+P,4.86548986,Diatoms,Fuco
T1,NO3+P,4.885281388,Diatoms,Fuco
T1,NO3+P,6.344885612,Diatoms,Fuco
T2,Control,9.835467591,Diatoms,Fuco
T2,Control,16.80838647,Diatoms,Fuco
T2,Control,18.63617847,Diatoms,Fuco
T2,NO3,15.35422031,Diatoms,Fuco
T2,NO3,13.45414986,Diatoms,Fuco
T2,NO3,15.81686613,Diatoms,Fuco
T2,P,21.24290367,Diatoms,Fuco
T2,P,21.36378952,Diatoms,Fuco
T2,P,20.90986639,Diatoms,Fuco
T2,NO3+P,20.94395273,Diatoms,Fuco
T2,NO3+P,22.40702591,Diatoms,Fuco
T2,NO3+P,21.09507051,Diatoms,Fuco
T3,Control,13.04204701,Diatoms,Fuco
T3,Control,14.12371014,Diatoms,Fuco
T3,Control,11.32579812,Diatoms,Fuco
T3,NO3,11.47628747,Diatoms,Fuco
T3,NO3,10.16257244,Diatoms,Fuco
T3,NO3,12.08437839,Diatoms,Fuco
T3,P,13.13232386,Diatoms,Fuco
T3,P,9.326518651,Diatoms,Fuco
T3,P,2.08536675,Diatoms,Fuco
T3,NO3+P,4.442385205,Diatoms,Fuco
T3,NO3+P,5.254759549,Diatoms,Fuco
T3,NO3+P,5.074658322,Diatoms,Fuco
T0,Control,1.645693004,Cyanobacteria,Myxo
T0,Control,1.783352762,Cyanobacteria,Myxo
T0,Control,1.821180221,Cyanobacteria,Myxo
T1,Control,2.437043451,Cyanobacteria,Myxo
T1,Control,2.160232299,Cyanobacteria,Myxo
T1,Control,0.687000316,Cyanobacteria,Myxo
T1,NO3,0.308500368,Cyanobacteria,Myxo
T1,NO3,0.877500473,Cyanobacteria,Myxo
T1,NO3,2.15934161,Cyanobacteria,Myxo
T1,P,1.878592109,Cyanobacteria,Myxo
T1,P,2.248067123,Cyanobacteria,Myxo
T1,P,2.192994634,Cyanobacteria,Myxo
T1,NO3+P,1.844069858,Cyanobacteria,Myxo
T1,NO3+P,2.143749185,Cyanobacteria,Myxo
T1,NO3+P,2.326737507,Cyanobacteria,Myxo
T2,Control,3.124848606,Cyanobacteria,Myxo
T2,Control,2.62863819,Cyanobacteria,Myxo
T2,Control,2.328712046,Cyanobacteria,Myxo
T2,NO3,2.204863335,Cyanobacteria,Myxo
T2,NO3,2.865776118,Cyanobacteria,Myxo
T2,NO3,2.553348133,Cyanobacteria,Myxo
T2,P,2.760481641,Cyanobacteria,Myxo
T2,P,2.792149395,Cyanobacteria,Myxo
T2,P,2.541221883,Cyanobacteria,Myxo
T2,NO3+P,2.730359179,Cyanobacteria,Myxo
T2,NO3+P,2.9123495,Cyanobacteria,Myxo
T2,NO3+P,2.568006944,Cyanobacteria,Myxo
T3,Control,11.11208711,Cyanobacteria,Myxo
T3,Control,10.76525492,Cyanobacteria,Myxo
T3,Control,11.27790552,Cyanobacteria,Myxo
T3,NO3,10.99337864,Cyanobacteria,Myxo
T3,NO3,11.67768543,Cyanobacteria,Myxo
T3,NO3,11.43226302,Cyanobacteria,Myxo
T3,P,11.47664724,Cyanobacteria,Myxo
T3,P,12.10004377,Cyanobacteria,Myxo
T3,P,12.46889637,Cyanobacteria,Myxo
T3,NO3+P,12.35748511,Cyanobacteria,Myxo
T3,NO3+P,12.27431836,Cyanobacteria,Myxo
T3,NO3+P,12.49080947,Cyanobacteria,Myxo
T0,Control,0.358342632,Cryptophytes,Allo
T0,Control,0.432569844,Cryptophytes,Allo
T0,Control,0.471000793,Cryptophytes,Allo
T1,Control,0.395430904,Cryptophytes,Allo
T1,Control,0.360768316,Cryptophytes,Allo
T1,Control,0.135717997,Cryptophytes,Allo
T1,NO3,0.068932506,Cryptophytes,Allo
T1,NO3,0.164211873,Cryptophytes,Allo
T1,NO3,0.377906442,Cryptophytes,Allo
T1,P,0.350653909,Cryptophytes,Allo
T1,P,0.351401248,Cryptophytes,Allo
T1,P,0.305148575,Cryptophytes,Allo
T1,NO3+P,0.257084555,Cryptophytes,Allo
T1,NO3+P,0.262157592,Cryptophytes,Allo
T1,NO3+P,0.319139011,Cryptophytes,Allo
T2,Control,0.431220834,Cryptophytes,Allo
T2,Control,0.317612666,Cryptophytes,Allo
T2,Control,0.382675477,Cryptophytes,Allo
T2,NO3,0.343402189,Cryptophytes,Allo
T2,NO3,0.514422445,Cryptophytes,Allo
T2,NO3,0.455370011,Cryptophytes,Allo
T2,P,0.460069379,Cryptophytes,Allo
T2,P,0.446262611,Cryptophytes,Allo
T2,P,0.431746504,Cryptophytes,Allo
T2,NO3+P,0.515790455,Cryptophytes,Allo
T2,NO3+P,0.529521223,Cryptophytes,Allo
T2,NO3+P,0.470449789,Cryptophytes,Allo
T3,Control,0.475915496,Cryptophytes,Allo
T3,Control,0.471887466,Cryptophytes,Allo
T3,Control,0.483160882,Cryptophytes,Allo
T3,NO3,0.443665925,Cryptophytes,Allo
T3,NO3,0.395962908,Cryptophytes,Allo
T3,NO3,0.436293871,Cryptophytes,Allo
T3,P,0.396368245,Cryptophytes,Allo
T3,P,0.346676546,Cryptophytes,Allo
T3,P,0.548534029,Cryptophytes,Allo
T3,NO3+P,0.463983408,Cryptophytes,Allo
T3,NO3+P,0.42339911,Cryptophytes,Allo
T3,NO3+P,0.347081883,Cryptophytes,Allo
T0,Control,0.651636254,Cyanobacteria,Zea
T0,Control,0.727143926,Cyanobacteria,Zea
T0,Control,0.695047088,Cyanobacteria,Zea
T1,Control,1.270745552,Cyanobacteria,Zea
T1,Control,1.237676271,Cyanobacteria,Zea
T1,Control,0.391919287,Cyanobacteria,Zea
T1,NO3,0.284495552,Cyanobacteria,Zea
T1,NO3,0.553799806,Cyanobacteria,Zea
T1,NO3,1.586016418,Cyanobacteria,Zea
T1,P,1.148785047,Cyanobacteria,Zea
T1,P,1.120172795,Cyanobacteria,Zea
T1,P,0.967705022,Cyanobacteria,Zea
T1,NO3+P,1.340792584,Cyanobacteria,Zea
T1,NO3+P,1.024786153,Cyanobacteria,Zea
T1,NO3+P,1.402287109,Cyanobacteria,Zea
T2,Control,4.292816523,Cyanobacteria,Zea
T2,Control,4.323273923,Cyanobacteria,Zea
T2,Control,4.175306814,Cyanobacteria,Zea
T2,NO3,3.638724228,Cyanobacteria,Zea
T2,NO3,4.998367238,Cyanobacteria,Zea
T2,NO3,4.295964495,Cyanobacteria,Zea
T2,P,5.587985344,Cyanobacteria,Zea
T2,P,5.362970862,Cyanobacteria,Zea
T2,P,4.754433761,Cyanobacteria,Zea
T2,NO3+P,5.787641516,Cyanobacteria,Zea
T2,NO3+P,5.445136025,Cyanobacteria,Zea
T2,NO3+P,5.429470973,Cyanobacteria,Zea
T3,Control,9.192437206,Cyanobacteria,Zea
T3,Control,9.736805565,Cyanobacteria,Zea
T3,Control,8.183764924,Cyanobacteria,Zea
T3,NO3,9.790701324,Cyanobacteria,Zea
T3,NO3,9.030774863,Cyanobacteria,Zea
T3,NO3,9.970515928,Cyanobacteria,Zea
T3,P,8.548181541,Cyanobacteria,Zea
T3,P,6.658326692,Cyanobacteria,Zea
T3,P,4.964793035,Cyanobacteria,Zea
T3,NO3+P,7.847436937,Cyanobacteria,Zea
T3,NO3+P,7.749531919,Cyanobacteria,Zea
T3,NO3+P,7.009802342,Cyanobacteria,Zea
T0,Control,1.561358771,Chlorophytes,Chlb
T0,Control,1.569836347,Chlorophytes,Chlb
T0,Control,1.542675707,Chlorophytes,Chlb
T1,Control,1.997359926,Chlorophytes,Chlb
T1,Control,1.796193005,Chlorophytes,Chlb
T1,Control,0.683443757,Chlorophytes,Chlb
T1,NO3,0.498638017,Chlorophytes,Chlb
T1,NO3,0.965660618,Chlorophytes,Chlb
T1,NO3,1.983968597,Chlorophytes,Chlb
T1,P,1.34083382,Chlorophytes,Chlb
T1,P,1.761067765,Chlorophytes,Chlb
T1,P,1.385678573,Chlorophytes,Chlb
T1,NO3+P,0.926026603,Chlorophytes,Chlb
T1,NO3+P,0.746431602,Chlorophytes,Chlb
T1,NO3+P,1.339780873,Chlorophytes,Chlb
T2,Control,5.431830849,Chlorophytes,Chlb
T2,Control,6.114977622,Chlorophytes,Chlb
T2,Control,7.610243704,Chlorophytes,Chlb
T2,NO3,6.561103269,Chlorophytes,Chlb
T2,NO3,7.371359673,Chlorophytes,Chlb
T2,NO3,7.217791367,Chlorophytes,Chlb
T2,P,7.331779656,Chlorophytes,Chlb
T2,P,9.409271568,Chlorophytes,Chlb
T2,P,8.435187372,Chlorophytes,Chlb
T2,NO3+P,9.95650715,Chlorophytes,Chlb
T2,NO3+P,8.546853777,Chlorophytes,Chlb
T2,NO3+P,8.595775326,Chlorophytes,Chlb
T3,Control,14.72625017,Chlorophytes,Chlb
T3,Control,20.04633362,Chlorophytes,Chlb
T3,Control,17.9391432,Chlorophytes,Chlb
T3,NO3,20.93037733,Chlorophytes,Chlb
T3,NO3,16.90066723,Chlorophytes,Chlb
T3,NO3,23.8769017,Chlorophytes,Chlb
T3,P,17.26228711,Chlorophytes,Chlb
T3,P,12.6360149,Chlorophytes,Chlb
T3,P,8.921972983,Chlorophytes,Chlb
T3,NO3+P,13.30617532,Chlorophytes,Chlb
T3,NO3+P,11.71411909,Chlorophytes,Chlb
T3,NO3+P,12.19350707,Chlorophytes,Chlb
T0,Control,0,Dinoflagellates,Perid
T0,Control,0,Dinoflagellates,Perid
