Timepoint,Location,Treatment,Nox,NOxstdev,PO4,PO4stdev,NH4,NH4stev,Sil,Silstdev,TDN,TDNstdev
T0,DB,C,63.04666667,73.43324134,47.88,17.72544217,36.82666667,16.77419844,9215.176667,253.5778717,635.6666667,228.8609476
T1,DB,C,3.806666667,6.593340074,40.66,3.687655081,9.83,8.871116052,9092.723333,383.6161186,471,74.08103671
T1,DB,N,197.7133333,90.24774697,32.41666667,5.18499116,23.35333333,20.4856348,8902.83,1097.545133,662,175.8607404
T1,DB,P,5.626666667,9.745672544,176.92,15.0987781,10.52666667,10.37198792,9432.81,818.1437284,447.6666667,48.2113403
T1,DB,NP,294.8766667,46.59512564,165.8833333,12.55599193,18.41666667,11.59766068,9690.886667,462.7658354,818.3333333,102.3441905
T2,DB,C,13.06666667,1.940137452,26.93333333,7.808279793,44.15666667,9.476905261,8583.67,956.4881378,265.6666667,22.18858565
T2,DB,N,230.5933333,130.2298097,20.9,4.082021558,44.66,22.50924032,9148.726667,529.9451263,264.3333333,87.7515432
T2,DB,P,9.323333333,8.49955489,150.4666667,12.4489772,20.48,12.97041634,8832.68,1490.872206,484.3333333,1.527525232
T2,DB,NP,149.5633333,129.5258416,109.72,27.04884656,11.54666667,15.059274,9314.14,945.7614832,608.3333333,120.5584229
T3,DB,C,7.15,12.38416327,33.7,3.987530564,23.89666667,13.46615139,9801.756667,1224.95705,498.3333333,48.41831609
T3,DB,N,79.84333333,71.8844144,16.33333333,8.060138543,47.58666667,37.41798543,7847.436667,1444.340772,630,143.885371
T3,DB,P,24.05,34.6687626,146.9733333,53.5329341,36.55333333,12.31146349,9089.096667,1047.341136,606.6666667,100.0616477
T3,DB,NP,0,0,116.75,11.56297972,11.90666667,11.22280862,10481.94,354.4024735,511.6666667,28.71120571
