Timepoint,Treatment,ug/L,Species,Pigment
T0,Control,1.463450249,Diatoms,Fuco
T0,Control,0.495986411,Diatoms,Fuco
T0,Control,0.416644338,Diatoms,Fuco
T1,Control,0.441957719,Diatoms,Fuco
T1,Control,0.486752599,Diatoms,Fuco
T1,Control,0.383798111,Diatoms,Fuco
T1,NO3,0.682237926,Diatoms,Fuco
T1,NO3,0.728909734,Diatoms,Fuco
T1,NO3,0.58344787,Diatoms,Fuco
T1,NH4,0.621874604,Diatoms,Fuco
T1,NH4,0.680771577,Diatoms,Fuco
T1,NH4,0.507909927,Diatoms,Fuco
T1,P,0.495073085,Diatoms,Fuco
T1,P,0.493631873,Diatoms,Fuco
T1,P,0.488855763,Diatoms,Fuco
T1,NO3+P,0.72485423,Diatoms,Fuco
T1,NO3+P,0.659052847,Diatoms,Fuco
T1,NO3+P,0.622385732,Diatoms,Fuco
T1,NH4+P,0.725348599,Diatoms,Fuco
T1,NH4+P,0.739802615,Diatoms,Fuco
T1,NH4+P,0.60478116,Diatoms,Fuco
T2,Control,0.929238204,Diatoms,Fuco
T2,Control,1.009258987,Diatoms,Fuco
T2,Control,0.903112046,Diatoms,Fuco
T2,NO3,2.994922354,Diatoms,Fuco
T2,NO3,2.618531403,Diatoms,Fuco
T2,NO3,2.131502292,Diatoms,Fuco
T2,NH4,3.615406022,Diatoms,Fuco
T2,NH4,3.494293938,Diatoms,Fuco
T2,NH4,2.795431798,Diatoms,Fuco
T2,P,0.962913966,Diatoms,Fuco
T2,P,0.940390838,Diatoms,Fuco
T2,P,1.199255978,Diatoms,Fuco
T2,NO3+P,2.99778802,Diatoms,Fuco
T2,NO3+P,2.998299148,Diatoms,Fuco
T2,NO3+P,2.736928646,Diatoms,Fuco
T2,NH4+P,3.366419888,Diatoms,Fuco
T2,NH4+P,3.572806476,Diatoms,Fuco
T2,NH4+P,2.969491666,Diatoms,Fuco
T3,Control,1.563187148,Diatoms,Fuco
T3,Control,1.38310268,Diatoms,Fuco
T3,Control,1.261873288,Diatoms,Fuco
T3,NO3,4.862196858,Diatoms,Fuco
T3,NO3,5.146107245,Diatoms,Fuco
T3,NO3,6.137510286,Diatoms,Fuco
T3,NH4,3.749933108,Diatoms,Fuco
T3,NH4,3.356876048,Diatoms,Fuco
T3,NH4,3.779880153,Diatoms,Fuco
T3,P,1.481180509,Diatoms,Fuco
T3,P,1.390543356,Diatoms,Fuco
T3,P,1.610872832,Diatoms,Fuco
T3,NO3+P,4.573158437,Diatoms,Fuco
T3,NO3+P,4.840394337,Diatoms,Fuco
T3,NO3+P,5.567996925,Diatoms,Fuco
T3,NH4+P,3.395529019,Diatoms,Fuco
T3,NH4+P,3.329258404,Diatoms,Fuco
T3,NH4+P,3.301096116,Diatoms,Fuco
T0,Control,1.757179379,Cyanobacteria,Myxo
T0,Control,1.262417675,Cyanobacteria,Myxo
T0,Control,1.169732351,Cyanobacteria,Myxo
T1,Control,1.363446502,Cyanobacteria,Myxo
T1,Control,1.415253488,Cyanobacteria,Myxo
T1,Control,1.146904955,Cyanobacteria,Myxo
T1,NO3,1.733352909,Cyanobacteria,Myxo
T1,NO3,1.69702889,Cyanobacteria,Myxo
T1,NO3,1.381146533,Cyanobacteria,Myxo
T1,NH4,1.309972962,Cyanobacteria,Myxo
T1,NH4,1.477749816,Cyanobacteria,Myxo
T1,NH4,1.229257212,Cyanobacteria,Myxo
T1,P,1.306195581,Cyanobacteria,Myxo
T1,P,1.266166081,Cyanobacteria,Myxo
T1,P,1.2562408,Cyanobacteria,Myxo
T1,NO3+P,1.450662136,Cyanobacteria,Myxo
T1,NO3+P,1.396544724,Cyanobacteria,Myxo
T1,NO3+P,1.501090163,Cyanobacteria,Myxo
T1,NH4+P,1.453881494,Cyanobacteria,Myxo
T1,NH4+P,1.44681393,Cyanobacteria,Myxo
T1,NH4+P,1.409119537,Cyanobacteria,Myxo
T2,Control,1.14097919,Cyanobacteria,Myxo
T2,Control,1.137770563,Cyanobacteria,Myxo
T2,Control,1.040219716,Cyanobacteria,Myxo
T2,NO3,1.81080101,Cyanobacteria,Myxo
T2,NO3,1.786237307,Cyanobacteria,Myxo
T2,NO3,1.56777595,Cyanobacteria,Myxo
T2,NH4,2.188432804,Cyanobacteria,Myxo
T2,NH4,1.997370331,Cyanobacteria,Myxo
T2,NH4,2.042248185,Cyanobacteria,Myxo
T2,P,1.211396213,Cyanobacteria,Myxo
T2,P,1.151181336,Cyanobacteria,Myxo
T2,P,1.210973403,Cyanobacteria,Myxo
T2,NO3+P,1.776699421,Cyanobacteria,Myxo
T2,NO3+P,1.759041241,Cyanobacteria,Myxo
T2,NO3+P,1.90676686,Cyanobacteria,Myxo
T2,NH4+P,1.99854647,Cyanobacteria,Myxo
T2,NH4+P,2.173685997,Cyanobacteria,Myxo
T2,NH4+P,1.822961599,Cyanobacteria,Myxo
T3,Control,0.433207575,Cyanobacteria,Myxo
T3,Control,0.445430405,Cyanobacteria,Myxo
T3,Control,0.455324566,Cyanobacteria,Myxo
T3,NO3,0.869001368,Cyanobacteria,Myxo
T3,NO3,0.871619779,Cyanobacteria,Myxo
T3,NO3,0.794001052,Cyanobacteria,Myxo
T3,NH4,1.068408417,Cyanobacteria,Myxo
T3,NH4,0.984458285,Cyanobacteria,Myxo
T3,NH4,0.994159285,Cyanobacteria,Myxo
T3,P,0.510439979,Cyanobacteria,Myxo
T3,P,0.490179484,Cyanobacteria,Myxo
T3,P,0.461698895,Cyanobacteria,Myxo
T3,NO3+P,1.01837959,Cyanobacteria,Myxo
T3,NO3+P,0.823211362,Cyanobacteria,Myxo
T3,NO3+P,0.895378643,Cyanobacteria,Myxo
T3,NH4+P,1.109304997,Cyanobacteria,Myxo
T3,NH4+P,1.06304282,Cyanobacteria,Myxo
T3,NH4+P,1.008485429,Cyanobacteria,Myxo
T0,Control,1.340979183,Cryptophytes,Allo
T0,Control,0.974206822,Cryptophytes,Allo
T0,Control,0.860269319,Cryptophytes,Allo
