Timepoint,Location,Treatment,Nox,NOxstdev,PO4,PO4stdev,NH4,NH4stev,Sil,Silstdev,TDN,TDNstdev
T0,STK,C,934.1566667,188.446929,423.55,19.50462509,220.56,30.20041225,7682.93,231.4933435,1703.333333,319.7394773
T1,STK,C,1301.033333,121.778194,410,8.360388747,100.62,23.01426514,7852.016667,47.06969761,1806.666667,144.6835628
T1,STK,NO3,1828.196667,1001.707029,346.7166667,123.0511814,100.7033333,36.68477114,6883.17,1478.243096,2414.333333,1336.415479
T1,STK,NH4 ,1084.923333,118.7789604,410.42,46.82622449,893.8866667,13.70289872,7405.506667,1021.045052,2470,183.5755975
T1,STK,P,1169.33,181.9723707,864.2266667,88.95334751,100.0033333,38.45513273,8195.583333,633.5521704,1650,240
T1,STK,NO3+P,2179.873333,610.0574001,788.7633333,17.24792838,78.21666667,9.084395045,6836.81,830.3504657,2643.333333,721.6878365
T1,STK,NH4+P,1284.556667,65.4698414,860.4,97.68962944,929.0733333,63.53719331,7104.023333,168.6600478,2853.333333,60.27713773
T2,STK,C,932.7633333,345.3672845,332.5233333,28.24818991,15.65333333,14.08116591,6523.646667,402.3423709,1236.333333,430.4652522
T2,STK,NO3,1999.743333,879.2642402,316.9866667,22.82236695,17.29,10.2011617,6159.906667,922.2420355,2386.666667,1053.960784
T2,STK,NH4 ,1271.423333,140.9933865,366.1633333,5.226713435,747.21,27.73256389,6480.683333,747.1760925,2663.333333,145.71662
T2,STK,P,1141.97,199.990705,789.2666667,59.74459334,20.15666667,17.49411425,6431.44,342.4229798,1323.333333,198.5782801
T2,STK,NO3+P,1980.77,914.2868755,834.7266667,129.7154094,17.00333333,3.951662098,6302.62,1480.736557,2343.333333,1042.225184
T2,STK,NH4+P,1017.823333,245.7610956,831.8766667,51.7425708,695.4033333,73.48610027,7013.116667,1087.041658,2236.666667,422.1768982
T3,STK,C,682.0466667,321.5131999,285.8733333,12.93572701,5.993333333,5.827738269,4128.48,1034.027734,1021.333333,457.3678315
T3,STK,NO3,1760.07,376.1987444,288.3166667,9.479780237,12.72333333,5.293168553,3645.53,488.4927769,2116.666667,505.7996968
T3,STK,NH4 ,1213.536667,190.9192448,263.19,6.690762288,307.97,31.39544712,3860.14,360.8156532,2036.666667,251.4623895
T3,STK,P,917.05,10.62114401,751.7733333,29.82424741,7.416666667,7.574657308,4279.146667,182.7542137,1303.333333,11.54700538
T3,STK,NO3+P,1661.036667,811.6455099,725.1733333,36.94951195,7.773333333,6.910291841,3980.366667,514.7522049,2000.333333,962.2839151
T3,STK,NH4+P,1240.243333,136.1642671,769.1766667,77.56444439,351.17,19.64972519,4695.74,136.6435169,2216.666667,63.50852961
